date_of_contract,municipality_name,zone_name,real_estate_type,area_in_square_meters,price_per_square_foot,real_estate_value,district_translated,latitude,longitude
2025-02-23,Al Rayyan,Al Mearad,Residence,900,173.0,1680000,Al Mearad,24.928100723590358,51.08167176463156
2025-02-23,Al Rayyan,New Al Rayyan,Residence,738,308.0,2450000,New Al Rayyan,24.928100723590358,51.08167176463156
2025-02-23,Al Wakrah,Al Wukair,Vacant Land,759,220.0,1797300,Al Wukair,,
2025-02-23,Al Daayen,Lusail 69,Residential Unit,44,929.03,446000,Lusail,25.506442965229745,51.466419091145966
2025-02-20,Al Khor,Al Khor,Residence,414,393.0,1750000,Al Khor,,
2025-02-20,Doha,New  Al Mirqab,Residential Building,1295,1417.0,19750000,New Al Mirqab,25.277967458892473,51.52339248614074
2025-02-20,Doha,Al Thumama 47,Vacant Land,623,340.0,2280000,Al Thumama,25.277967458892473,51.52339248614074
2025-02-20,Doha,Old Airport,Residential Building,610,609.0,4000000,Old Airport,25.277967458892473,51.52339248614074
2025-02-20,Al Rayyan,Luaib,Residence,942,321.0,3250000,Luaib,24.928100723590358,51.08167176463156
2025-02-20,Al Wakrah,Al Wakrah,Residence,1194,458.0,5885000,Al Wakrah,,
2025-02-20,Doha,The Pearl Island,Residential Unit,398,1631.84,7000000,The Pearl Island,25.277967458892473,51.52339248614074
2025-02-20,Umm Salal,Al Kharaitiyat,Residence,540,757.0,4400000,Al Kharaitiyat,25.468814293441394,51.34446945529472
2025-02-20,Doha,Al Markhiya,Residence,637,693.0,4750000,Al Markhiya,25.277967458892473,51.52339248614074
2025-02-20,Al Rayyan,Luaib,Residence,599,295.0,1900000,Luaib,24.928100723590358,51.08167176463156
2025-02-20,Al Rayyan,Muaither 53,Residence,683,422.0,3100000,Muaither,24.928100723590358,51.08167176463156
2025-02-20,Al Wakrah,Al Wakrah,Residence,869,237.0,2220299,Al Wakrah,,
2025-02-20,Umm Salal,Umm Ebairiya,Residential Unit,353,394.12,1500000,Umm Ebairiya,25.468814293441394,51.34446945529472
2025-02-20,Doha,Fereej Abdel Aziz,Residence,480,1084.0,5600000,Fereej Abdel Aziz,25.277967458892473,51.52339248614074
2025-02-20,Doha,Madinat Khalifa South,Residence,915,366.0,3600000,Madinat Khalifa South,25.277967458892473,51.52339248614074
2025-02-20,Al Rayyan,Gharrafat Al Rayyan,Residence,668,688.0,4950000,Gharrafat Al Rayyan,24.928100723590358,51.08167176463156
2025-02-20,Al Rayyan,New Al Rayyan,Vacant Land,845,275.0,2500000,New Al Rayyan,24.928100723590358,51.08167176463156
2025-02-20,Al Wakrah,Al Wukair,Vacant Land,600,248.0,1600000,Al Wukair,,
2025-02-19,Umm Salal,Umm Slal Ali,Vacant Land,600,274.0,1766500,Umm Slal Ali,25.468814293441394,51.34446945529472
2025-02-19,Umm Salal,Umm Slal Ali,Residence,420,442.0,2000000,Umm Slal Ali,25.468814293441394,51.34446945529472
2025-02-19,Umm Salal,Umm Slal Ali,Vacant Land,635,263.0,1800023,Umm Slal Ali,25.468814293441394,51.34446945529472
2025-02-19,Doha,Al Mansoura,Residential Building,456,1470.0,7217503,Al Mansoura,25.277967458892473,51.52339248614074
2025-02-19,Doha,Al Thumama 47,Residence,1250,312.0,4200000,Al Thumama,25.277967458892473,51.52339248614074
2025-02-19,Doha,Al Thumama 46,Residence,450,785.0,3800000,Al Thumama,25.277967458892473,51.52339248614074
2025-02-19,Al Rayyan,Ain Khalid,Residence,1431,260.0,4000000,Ain Khalid,24.928100723590358,51.08167176463156
2025-02-19,Al Rayyan,Muaither 55,Residence,600,503.0,3250000,Muaither,24.928100723590358,51.08167176463156
2025-02-19,Al Daayen,Umm Qarn,Residence,510,519.0,2850000,Umm Qarn,25.506442965229745,51.466419091145966
2025-02-19,Al Khor,Al Dakhira,Residence,513,239.0,1320000,Al Dakhira,,
2025-02-19,Doha,Al Jebailat,Residence,450,537.0,2600000,Al Jebailat,25.277967458892473,51.52339248614074
2025-02-19,Doha,Old Airport,Residence,359,880.0,3400000,Old Airport,25.277967458892473,51.52339248614074
2025-02-19,Al Shamal,Aba Al Dalouf,Vacant Land,600,135.0,872000,Aba Al Dalouf,25.995427919236633,51.2017975520098
2025-02-19,Al Daayen,Umm Qarn,Residence,499,577.0,3100000,Umm Qarn,25.506442965229745,51.466419091145966
2025-02-19,Al Khor,Al Khor,Residence,410,267.0,1180000,Al Khor,,
2025-02-19,Al Khor,Al Khor,Residence,411,267.0,1180000,Al Khor,,
2025-02-19,Al Shamal,Aba Al Dalouf,Vacant Land,1200,128.0,1650000,Aba Al Dalouf,25.995427919236633,51.2017975520098
2025-02-19,Doha,Al Kharayej,Residential Unit,105,905.88,1025000,Al Kharayej,25.277967458892473,51.52339248614074
2025-02-19,Doha,Legtaifiya,Residential Unit,139,916.89,1375000,Legtaifiya,25.277967458892473,51.52339248614074
2025-02-19,Doha,The Pearl Island,Residential Unit,385,1422.64,5900000,The Pearl Island,25.277967458892473,51.52339248614074
2025-02-18,Doha,Old Airport,Vacant Land,514,500.0,2766295,Old Airport,25.277967458892473,51.52339248614074
2025-02-18,Doha,Hazm Al Markhiya,Vacant Land,1309,405.0,5700000,Hazm Al Markhiya,25.277967458892473,51.52339248614074
2025-02-18,Doha,Fereej Bin Mahmoud 22,Residential Building,142,1439.0,2200000,Fereej Bin Mahmoud,25.277967458892473,51.52339248614074
2025-02-18,Al Daayen,Umm Qarn,Residence,365,535.0,2100000,Umm Qarn,25.506442965229745,51.466419091145966
2025-02-18,Al Daayen,Simaisma,Residence,405,562.0,2450000,Simaisma,25.506442965229745,51.466419091145966
2025-02-18,Al Wakrah,Al Wakrah,Residence,264,528.0,1500000,Al Wakrah,,
2025-02-18,Al Wakrah,Al Wakrah,Residential Building,1120,1270.0,15312500,Al Wakrah,,
2025-02-18,Doha,The Pearl Island,Residential Unit,229,1011.09,2500000,The Pearl Island,25.277967458892473,51.52339248614074
2025-02-18,Doha,The Pearl Island,Residential Unit,183,1189.64,2350000,The Pearl Island,25.277967458892473,51.52339248614074
2025-02-18,Doha,Old Airport,Residential Building,512,1606.0,8850000,Old Airport,25.277967458892473,51.52339248614074
2025-02-18,Al Rayyan,Muaither 55,Residence,612,486.0,3200000,Muaither,24.928100723590358,51.08167176463156
2025-02-18,Al Daayen,Al Ebb,Residence,540,434.0,2525000,Al Ebb,25.506442965229745,51.466419091145966
2025-02-18,Al Wakrah,Al Wakrah,Residence,265,526.0,1500000,Al Wakrah,,
2025-02-18,Al Wakrah,Al Wukair,Residence,495,522.0,2780000,Al Wukair,,
2025-02-18,Al Khor,Al Khor,Residence,602,363.0,2350000,Al Khor,,
2025-02-18,Doha,Legtaifiya,Vacant Land,1225,319.0,4200000,Legtaifiya,25.277967458892473,51.52339248614074
2025-02-18,Al Shamal,Al Ruwais,Residence,529,651.0,3704700,Al Ruwais,25.995427919236633,51.2017975520098
2025-02-18,Al Shamal,Al Ruwais,Residence,530,649.0,3704700,Al Ruwais,25.995427919236633,51.2017975520098
2025-02-17,Umm Salal,Al Kharaitiyat,Residence,442,568.0,2700000,Al Kharaitiyat,25.468814293441394,51.34446945529472
2025-02-17,Doha,Duhail,Vacant Land,593,423.0,2700000,Duhail,25.277967458892473,51.52339248614074
2025-02-17,Doha,Al Thumama 50,Vacant Land,648,335.0,2336500,Al Thumama,25.277967458892473,51.52339248614074
2025-02-17,Al Rayyan,Al Aziziya,Vacant Land,770,350.0,2900000,Al Aziziya,24.928100723590358,51.08167176463156
2025-02-17,Al Rayyan,Rawdat Egdaim,Vacant Land,1168,336.0,4220000,Rawdat Egdaim,24.928100723590358,51.08167176463156
2025-02-17,Al Rayyan,Muaither 55,Vacant Land,7614,183.0,15000000,Muaither,24.928100723590358,51.08167176463156
2025-02-17,Al Daayen,Jeryan Jenaihat,Residence,580,320.0,2000000,Jeryan Jenaihat,25.506442965229745,51.466419091145966
2025-02-17,Al Daayen,Jeryan Jenaihat,Vacant Land,508,384.0,2100000,Jeryan Jenaihat,25.506442965229745,51.466419091145966
2025-02-17,Doha,Ghar Thaileb,Residential Unit,167,996.93,1800000,Ghar Thaileb,25.277967458892473,51.52339248614074
2025-02-17,Doha,Ghar Thaileb,Residential Unit,83,1334.49,1200000,Ghar Thaileb,25.277967458892473,51.52339248614074
2025-02-17,Al Khor,Al Khor,Residence,490,322.0,1700000,Al Khor,,
2025-02-17,Doha,New Slata,Vacant Land,819,306.0,2700000,New Slata,25.277967458892473,51.52339248614074
2025-02-17,Doha,Nuaija 44,Vacant Land,556,365.0,2184000,Nuaija,25.277967458892473,51.52339248614074
2025-02-17,Doha,Al Sadd 39,Residence,517,854.0,4750000,Al Sadd,25.277967458892473,51.52339248614074
2025-02-17,Doha,Fereej Abdel Aziz,Residential Building,294,711.0,2250000,Fereej Abdel Aziz,25.277967458892473,51.52339248614074
2025-02-17,Doha,Fereej Bin Mahmoud 22,Residential Building,400,1533.0,6600000,Fereej Bin Mahmoud,25.277967458892473,51.52339248614074
2025-02-17,Al Rayyan,Bu Sidra,Residence,897,238.0,2300000,Bu Sidra,24.928100723590358,51.08167176463156
2025-02-17,Al Shamal,Madinat Al Shamal,Residence,720,168.0,1300000,Madinat Al Shamal,25.995427919236633,51.2017975520098
2025-02-17,Al Wakrah,Al Wukair,Residence,420,586.0,2650000,Al Wukair,,
2025-02-17,Al Daayen,Lusail 69,Residential Unit,118,904.25,1153000,Lusail,25.506442965229745,51.466419091145966
2025-02-17,Doha,Ghar Thaileb,Residential Unit,89,1199.85,1155000,Ghar Thaileb,25.277967458892473,51.52339248614074
2025-02-17,Umm Salal,Al Kharaitiyat,Vacant Land,621,374.0,2500000,Al Kharaitiyat,25.468814293441394,51.34446945529472
2025-02-17,Umm Salal,Umm Al Amad,Residence,600,511.0,3300000,Umm Al Amad,25.468814293441394,51.34446945529472
2025-02-17,Doha,Fereej Abdel Aziz,Residence,219,840.0,1960000,Fereej Abdel Aziz,25.277967458892473,51.52339248614074
2025-02-17,Al Rayyan,Muraikh,Residence,600,867.0,5600000,Muraikh,24.928100723590358,51.08167176463156
2025-02-17,Al Shamal,Madinat Al Shamal,Residence,714,130.0,1000000,Madinat Al Shamal,25.995427919236633,51.2017975520098
2025-02-17,Al Daayen,Jeryan Jenaihat,Vacant Land,507,385.0,2101000,Jeryan Jenaihat,25.506442965229745,51.466419091145966
2025-02-17,Doha,The Pearl Island,Residential Unit,404,1686.1,7350000,The Pearl Island,25.277967458892473,51.52339248614074
2025-02-17,Al Daayen,Lusail 69,Residential Unit,79,1236.79,1057030,Lusail,25.506442965229745,51.466419091145966
2025-02-16,Umm Salal,Umm Slal Ali,Residence,469,396.0,2000000,Umm Slal Ali,25.468814293441394,51.34446945529472
2025-02-16,Al Khor,Al Khor,Vacant Land,1060,825.0,9413357,Al Khor,,
2025-02-16,Doha,Fereej Kulaib,Vacant Land,840,649.0,5870000,Fereej Kulaib,25.277967458892473,51.52339248614074
2025-02-16,Doha,Madinat Khalifa South,Residential Building,376,655.0,2650000,Madinat Khalifa South,25.277967458892473,51.52339248614074
2025-02-16,Doha,Nuaija 44,Residence,524,417.0,2350000,Nuaija,25.277967458892473,51.52339248614074
2025-02-16,Doha,Umm Ghuwailina,Residence,422,738.0,3350000,Umm Ghuwailina,25.277967458892473,51.52339248614074
2025-02-16,Al Rayyan,Izghawa 51,Vacant Land,699,370.0,2783893,Izghawa,24.928100723590358,51.08167176463156
2025-02-16,Al Daayen,Lusail 69,Residential Unit,128,925.49,1280000,Lusail,25.506442965229745,51.466419091145966
2025-02-16,Al Daayen,Lusail 69,Residential Unit,128,899.83,1245000,Lusail,25.506442965229745,51.466419091145966
2025-02-16,Al Daayen,Lusail 69,Residential Unit,137,763.36,1133000,Lusail,25.506442965229745,51.466419091145966
2025-02-16,Doha,The Pearl Island,Residential Unit,137,1286.46,1900000,The Pearl Island,25.277967458892473,51.52339248614074
2025-02-16,Al Khor,Al Khor,Vacant Land,1321,350.0,4981839,Al Khor,,
2025-02-16,Doha,Old Airport,Residential Building,465,999.0,5000000,Old Airport,25.277967458892473,51.52339248614074
2025-02-16,Doha,Fereej Bin Derhem,Residential Building,42,1548.0,700000,Fereej Bin Derhem,25.277967458892473,51.52339248614074
2025-02-16,Doha,Najma,Residence,72,645.0,500000,Najma,25.277967458892473,51.52339248614074
2025-02-16,Al Rayyan,New Al Rayyan,Residence,453,636.0,3100000,New Al Rayyan,24.928100723590358,51.08167176463156
2025-02-16,Al Rayyan,Muaither 53,Vacant Land,710,327.0,2500000,Muaither,24.928100723590358,51.08167176463156
2025-02-16,Al Shamal,Madinat Al Shamal,Residence,544,290.0,1700000,Madinat Al Shamal,25.995427919236633,51.2017975520098
2025-02-16,Al Shamal,Madinat Al Shamal,Residence,720,148.0,1150000,Madinat Al Shamal,25.995427919236633,51.2017975520098
2025-02-16,Al Daayen,Al Kheesa,Residence,2650,200.0,5700000,Al Kheesa,25.506442965229745,51.466419091145966
2025-02-16,Al Daayen,Umm Qarn,Residence,499,503.0,2700000,Umm Qarn,25.506442965229745,51.466419091145966
2025-02-16,Doha,The Pearl Island,Residential Unit,183,1350.89,2665042,The Pearl Island,25.277967458892473,51.52339248614074
2025-02-16,Doha,The Pearl Island,Residential Unit,120,1271.86,1645556,The Pearl Island,25.277967458892473,51.52339248614074
2025-02-16,Doha,Fereej Kulaib,Vacant Land,822,650.0,5750000,Fereej Kulaib,25.277967458892473,51.52339248614074
2025-02-16,Doha,Al Thumama 47,Residence,549,406.0,2400000,Al Thumama,25.277967458892473,51.52339248614074
2025-02-16,Al Rayyan,Ain Khalid,Residence,7763,190.0,15850000,Ain Khalid,24.928100723590358,51.08167176463156
2025-02-16,Al Rayyan,Izghawa 51,Vacant Land,807,370.0,3214000,Izghawa,24.928100723590358,51.08167176463156
2025-02-16,Al Wakrah,Al Wakrah,Residence,450,413.0,2000000,Al Wakrah,,
2025-02-16,Doha,The Pearl Island,Residential Unit,108,1727.38,2014029,The Pearl Island,25.277967458892473,51.52339248614074
2025-02-16,Al Daayen,Lusail 69,Residential Unit,137,754.6,1120000,Lusail,25.506442965229745,51.466419091145966
2025-02-16,Al Daayen,Lusail 69,Residential Unit,112,1118.42,1349280,Lusail,25.506442965229745,51.466419091145966
2025-02-13,Al Daayen,Lusail 69,Residential Unit,133,1012.02,1452615,Lusail,25.506442965229745,51.466419091145966
2025-02-13,Umm Salal,Umm Slal Ali,Vacant Land,617,270.0,1793000,Umm Slal Ali,25.468814293441394,51.34446945529472
2025-02-13,Al Rayyan,Muaither 53,Residence,598,637.0,4100000,Muaither,24.928100723590358,51.08167176463156
2025-02-13,Al Rayyan,New Al Rayyan,Residence,1152,419.0,5200000,New Al Rayyan,24.928100723590358,51.08167176463156
2025-02-13,Doha,Nuaija 43,Residence,453,1119.0,5456667,Nuaija,25.277967458892473,51.52339248614074
2025-02-13,Doha,The Pearl Island,Residence,1486,2657.0,42500000,The Pearl Island,25.277967458892473,51.52339248614074
2025-02-13,Al Daayen,Lusail 69,Residential Unit,115,1181.62,1467500,Lusail,25.506442965229745,51.466419091145966
2025-02-13,Al Wakrah,Al Wukair,Vacant Land,895,183.0,1769000,Al Wukair,,
2025-02-13,Umm Salal,Umm Slal Ali,Residence,570,407.0,2500000,Umm Slal Ali,25.468814293441394,51.34446945529472
2025-02-13,Al Daayen,Al Kheesa,Residence,542,463.0,2700000,Al Kheesa,25.506442965229745,51.466419091145966
2025-02-13,Doha,Old Airport,Residence,400,813.0,3500000,Old Airport,25.277967458892473,51.52339248614074
2025-02-13,Doha,Duhail,Residence,1259,258.0,3500000,Duhail,25.277967458892473,51.52339248614074
2025-02-13,Doha,Al Thumama 46,Residence,435,812.0,3800000,Al Thumama,25.277967458892473,51.52339248614074
2025-02-13,Doha,Nuaija 43,Residence,453,1100.0,5365012,Nuaija,25.277967458892473,51.52339248614074
2025-02-13,Doha,The Pearl Island,Residential Unit,87,1068.02,1008550,The Pearl Island,25.277967458892473,51.52339248614074
2025-02-13,Doha,The Pearl Island,Residential Unit,73,1326.28,1050000,The Pearl Island,25.277967458892473,51.52339248614074
2025-02-13,Doha,The Pearl Island,Residential Unit,77,1625.02,1350000,The Pearl Island,25.277967458892473,51.52339248614074
2025-02-13,Al Daayen,Lusail 69,Residential Unit,113,1158.73,1414375,Lusail,25.506442965229745,51.466419091145966
2025-02-13,Doha,The Pearl Island,Residential Unit,81,1774.49,1550000,The Pearl Island,25.277967458892473,51.52339248614074
2025-02-13,Al Rayyan,Lebday,Residence,753,228.0,1850000,Lebday,24.928100723590358,51.08167176463156
2025-02-13,Al Wakrah,Al Wakrah,Vacant Land,435,395.0,1850000,Al Wakrah,,
2025-02-13,Al Wakrah,Al Wukair,Residence,465,440.0,2200000,Al Wukair,,
2025-02-13,Al Rayyan,Al Aziziya,Residence,462,446.0,2220000,Al Aziziya,24.928100723590358,51.08167176463156
2025-02-13,Doha,Al Thumama 50,Residence,351,741.0,2800000,Al Thumama,25.277967458892473,51.52339248614074
2025-02-13,Umm Salal,Umm Al Amad,Residence,579,465.0,2900000,Umm Al Amad,25.468814293441394,51.34446945529472
2025-02-13,Doha,Al Maamoura 43,Vacant Land,1003,278.0,3000000,Al Maamoura,25.277967458892473,51.52339248614074
2025-02-12,Al Daayen,Lusail 69,Residential Unit,118,780.83,1000000,Lusail,25.506442965229745,51.466419091145966
2025-02-12,Al Rayyan,Bu Hamour,Residence,450,434.0,2100000,Bu Hamour,24.928100723590358,51.08167176463156
2025-02-12,Doha,Fereej Abdel Aziz,Residential Building,294,711.0,2250000,Fereej Abdel Aziz,25.277967458892473,51.52339248614074
2025-02-12,Al Daayen,Jeryan Jenaihat,Vacant Land,1015,343.0,3747000,Jeryan Jenaihat,25.506442965229745,51.466419091145966
2025-02-12,Al Khor,Al Khor,Residence,768,496.0,4100000,Al Khor,,
2025-02-12,Doha,The Pearl Island,Residential Unit,112,1252.0,1520000,The Pearl Island,25.277967458892473,51.52339248614074
2025-02-12,Umm Salal,Umm Slal Ali,Vacant Land,629,270.0,1828050,Umm Slal Ali,25.468814293441394,51.34446945529472
2025-02-12,Doha,Al Thumama 46,Residence,452,411.0,2000000,Al Thumama,25.277967458892473,51.52339248614074
2025-02-12,Al Khor,Al Khor,Residence,900,243.0,2350000,Al Khor,,
2025-02-12,Al Rayyan,Gharrafat Al Rayyan,Residence,372,624.0,2500000,Gharrafat Al Rayyan,24.928100723590358,51.08167176463156
2025-02-12,Umm Salal,Umm Al Amad,Residence,540,482.0,2800000,Umm Al Amad,25.468814293441394,51.34446945529472
2025-02-12,Doha,Al Hilal,Residence,952,293.0,3000000,Al Hilal,25.277967458892473,51.52339248614074
2025-02-12,Al Daayen,Umm Qarn,Residence,499,624.0,3350000,Umm Qarn,25.506442965229745,51.466419091145966
2025-02-12,Al Daayen,Al Ebb,Residence,2126,371.0,8500000,Al Ebb,25.506442965229745,51.466419091145966
2025-02-12,Doha,Al Hilal,Apartment Complex,2957,350.0,11140201,Al Hilal,25.277967458892473,51.52339248614074
2025-02-12,Doha,The Pearl Island,Residential Unit,130,998.65,1400000,The Pearl Island,25.277967458892473,51.52339248614074
2025-02-12,Al Daayen,Al Sakhama,Residence,456,479.0,2350000,Al Sakhama,25.506442965229745,51.466419091145966
2025-02-12,Doha,Al Thumama 46,Residence,498,466.0,2500000,Al Thumama,25.277967458892473,51.52339248614074
2025-02-12,Umm Salal,Umm Al Amad,Residence,552,510.0,3030000,Umm Al Amad,25.468814293441394,51.34446945529472
2025-02-12,Al Wakrah,Al Wakrah,Residence,1281,290.0,4000000,Al Wakrah,,
2025-02-12,Al Daayen,Al Ebb,Residence,540,817.0,4750000,Al Ebb,25.506442965229745,51.466419091145966
2025-02-12,Al Daayen,Simaisma,Residence,1344,346.0,5000000,Simaisma,25.506442965229745,51.466419091145966
2025-02-10,Doha,Najma,Residence,72,574.0,445000,Najma,25.277967458892473,51.52339248614074
2025-02-10,Doha,Ghar Thaileb,Residential Unit,91,1138.53,1125750,Ghar Thaileb,25.277967458892473,51.52339248614074
2025-02-10,Doha,The Pearl Island,Residential Unit,115,1007.1,1250000,The Pearl Island,25.277967458892473,51.52339248614074
2025-02-10,Doha,Al Thumama 46,Vacant Land,448,373.0,1800000,Al Thumama,25.277967458892473,51.52339248614074
2025-02-10,Doha,Ghar Thaileb,Residential Unit,180,1025.56,1990000,Ghar Thaileb,25.277967458892473,51.52339248614074
2025-02-10,Al Daayen,Al Sakhama,Vacant Land,600,310.0,2002000,Al Sakhama,25.506442965229745,51.466419091145966
2025-02-10,Doha,The Pearl Island,Residential Unit,135,1410.12,2050000,The Pearl Island,25.277967458892473,51.52339248614074
2025-02-10,Al Rayyan,New Al Rayyan,Residence,907,236.0,2300000,New Al Rayyan,24.928100723590358,51.08167176463156
2025-02-10,Al Rayyan,Muaither 53,Residence,628,503.0,3400000,Muaither,24.928100723590358,51.08167176463156
2025-02-10,Al Rayyan,Gharrafat Al Rayyan,Residence,662,617.0,4400000,Gharrafat Al Rayyan,24.928100723590358,51.08167176463156
2025-02-10,Al Rayyan,Muaither 53,Residence,276,337.0,1000000,Muaither,24.928100723590358,51.08167176463156
2025-02-10,Doha,Ghar Thaileb,Residential Unit,91,1150.92,1138000,Ghar Thaileb,25.277967458892473,51.52339248614074
2025-02-10,Doha,Al Maamoura 43,Residence,322,433.0,1500000,Al Maamoura,25.277967458892473,51.52339248614074
2025-02-10,Al Wakrah,Al Wukair,Vacant Land,813,217.0,1900000,Al Wukair,,
2025-02-10,Doha,Al Maamoura 43,Residence,481,386.0,2000000,Al Maamoura,25.277967458892473,51.52339248614074
